"Name","State","Runtime","Sweep","action_bins","alpha","epsilon","gamma","vel_bins","x_bins","test_value","train_value"
"logical-sweep-20","finished","65","l6wrf4n4","32","0.7551519030056029","0.7590850686703958","0.8213037071708917","17","19","10.24","8.71"
"drawn-sweep-64","finished","60","l6wrf4n4","39","0.5208765843890862","0.5050704932649724","0.9164932071396098","23","11","9.82","-1.87"
"sleek-sweep-61","finished","69","l6wrf4n4","76","0.8677925685108446","0.6859815947084039","0.9546907063161968","21","14","8.4","3.886"
"royal-sweep-6","finished","69","l6wrf4n4","69","0.6077377379507504","0.6246873099218557","0.9622846780647922","15","21","8.3","7.438"
"wobbly-sweep-78","finished","68","l6wrf4n4","53","0.6279287596391168","0.5863974424332274","0.8678037905715873","10","23","7.9","2.724"
"deft-sweep-95","finished","68","l6wrf4n4","11","0.5395792682803338","0.6661153987101792","0.8569828865640878","20","13","7.02","3.39"
"likely-sweep-42","finished","71","l6wrf4n4","49","0.5117911941093416","0.7481485488508214","0.7429238062605801","12","16","6.88","6.07"
"lilac-sweep-25","finished","74","l6wrf4n4","69","0.8625236090068136","0.6159882526827556","0.8852863699998996","15","11","6.88","7.652"
"mild-sweep-74","finished","70","l6wrf4n4","56","0.8275935327347692","0.6483309779025928","0.9081328943569889","15","11","6.6","7.394"
"solar-sweep-66","finished","72","l6wrf4n4","95","0.6168718966621762","0.827295419084908","0.7552310002838546","21","16","5.96","8.372"
"good-sweep-19","finished","68","l6wrf4n4","47","0.5238726588994997","0.64584688511025","0.9033511752508718","10","22","5.56","2.138"
"eager-sweep-17","finished","65","l6wrf4n4","90","0.5609553403860448","0.8580998225089004","0.9414410298953224","11","18","4.28","6.298"
"young-sweep-43","finished","66","l6wrf4n4","26","0.8100811510137611","0.5370239562684249","0.7953323157061194","25","10","4.14","3.902"
"smart-sweep-31","finished","67","l6wrf4n4","89","0.6512820078650773","0.67692902378476","0.9063921912406252","17","23","4","4.542"
"trim-sweep-9","finished","71","l6wrf4n4","72","0.5841127363393523","0.5531527482783155","0.919774572773956","21","11","3.82","5.774"
"daily-sweep-67","finished","77","l6wrf4n4","62","0.9534200165717448","0.7616329112228193","0.9622088535788642","25","18","2.92","2.204"
"confused-sweep-83","finished","64","l6wrf4n4","41","0.9052951490269668","0.5169984824316349","0.8093092387546265","22","21","2.82","-0.2"
"peach-sweep-23","finished","64","l6wrf4n4","31","0.7143513272673763","0.94037880137284","0.9606134954005212","19","20","2.74","2.168"
"divine-sweep-39","finished","72","l6wrf4n4","89","0.6544575789594882","0.5976537862534245","0.8952349175929967","22","12","1.86","3.062"
"dazzling-sweep-53","finished","64","l6wrf4n4","72","0.616180365549101","0.7000495353056712","0.9612895017684394","14","21","1.56","2.332"
"lilac-sweep-30","finished","69","l6wrf4n4","63","0.9530557502599624","0.5878733412477404","0.8184422531524405","18","13","1.4","-7.268"
"jolly-sweep-29","finished","64","l6wrf4n4","27","0.7137137058668366","0.6909227750324283","0.972380504864885","17","20","1.16","4.484"
"easy-cosmos-449","finished","68","l6wrf4n4","39","0.7466040044032902","0.9796664857223776","0.8277783292612652","17","24","0.94","-1.456"
