"Name","State","Runtime","Sweep","action_bins","alpha","epsilon","gamma","x_bins","vel_bins","test_value","train_value"
"winter-sweep-9","finished","55","ls3l5ov5","83","0.9627598320857732","0.756163412663647","0.8836367261793856","10","13","17.78","13.426"
"toasty-sweep-64","finished","52","ls3l5ov5","43","0.9267462277992392","0.6158648959536234","0.9210061504233094","17","19","13.04","11.18"
"stilted-sweep-90","finished","46","ls3l5ov5","25","0.5082028468593822","0.7750861813283916","0.9737740679852844","12","10","10.28","7.426"
"fearless-sweep-66","finished","50","ls3l5ov5","36","0.7459442895811865","0.614489543456286","0.8532964457377994","14","24","4.82","2.778"
"trim-sweep-72","finished","52","ls3l5ov5","48","0.9695934215981872","0.64151581370883","0.8876935420603449","13","25","3.34","-71.676"
"grateful-sweep-28","finished","49","ls3l5ov5","47","0.5887998983412636","0.587423173439189","0.9547215453382044","10","13","2.98","6.796"
"fast-sweep-61","finished","55","ls3l5ov5","55","0.9353773838848524","0.7261421244360343","0.921027584667891","24","24","1.82","-46.514"
"lyric-sweep-34","finished","53","ls3l5ov5","19","0.770405608686297","0.616927383876124","0.7286886326712255","14","10","-1.8","16.572"
"denim-sweep-24","finished","53","ls3l5ov5","30","0.755262389272852","0.6276087841161004","0.9533082045345382","12","11","-1.82","-3.962"
"warm-sweep-83","finished","48","ls3l5ov5","39","0.8028110902353223","0.6544620861449542","0.8115949219131073","15","17","-2.3","-2.862"
"major-sweep-76","finished","50","ls3l5ov5","54","0.951775128712468","0.6517289901689254","0.9377006315749508","18","28","-3.26","-2.21"
"quiet-sweep-22","finished","51","ls3l5ov5","34","0.8267139538640024","0.5713727567998671","0.8366932780464129","20","16","-5.4","-7.628"
"sweet-sweep-60","finished","74","ls3l5ov5","42","0.7721330134191922","0.7781783867882232","0.9611586051113012","12","33","-5.56","-36.966"
"electric-sweep-62","finished","49","ls3l5ov5","23","0.7501307055110027","0.7186873859852208","0.9499554564070332","23","26","-7.52","-6.072"
"solar-sweep-32","finished","50","ls3l5ov5","19","0.87042231418851","0.5149444090823321","0.7333233347913383","21","17","-8.94","-6.156"
"wobbly-sweep-67","finished","53","ls3l5ov5","42","0.8360397501274812","0.7267275212212178","0.9425194787901237","12","31","-12.68","-15.084"
"fearless-sweep-59","finished","55","ls3l5ov5","29","0.8292906924933363","0.7100439545084101","0.8502053959599166","18","35","-12.76","-31.396"
"crimson-sweep-50","finished","48","ls3l5ov5","11","0.6516047783136794","0.7515952572992992","0.9816321479813388","19","44","-13.9","-11.454"
"easy-sweep-35","finished","50","ls3l5ov5","14","0.835890336182731","0.6199118714947396","0.9148529830025132","24","11","-14.14","-10.29"
"firm-sweep-86","finished","45","ls3l5ov5","36","0.6121829313570903","0.6422648367637992","0.9386556926396044","24","30","-16.04","-29.006"
"gallant-sweep-55","finished","51","ls3l5ov5","11","0.874537775864937","0.9859337327123624","0.9640127502311926","16","56","-16.64","-18.806"
"helpful-sweep-11","finished","57","ls3l5ov5","74","0.960153557051606","0.7471494205550088","0.9364687614923852","11","13","-17.86","-30.196"
"glorious-sweep-13","finished","54","ls3l5ov5","74","0.8114396548202238","0.7579066378694581","0.8656467475186016","10","17","-19.34","-17.73"
"pious-sweep-38","finished","54","ls3l5ov5","13","0.9671537652857862","0.5901657561848597","0.6697515763907265","37","10","-20.44","-17.406"
"daily-sweep-23","finished","47","ls3l5ov5","30","0.72118993350584","0.5741484029239529","0.8387851920557199","24","23","-21.42","-22.988"
"tough-sweep-94","finished","48","ls3l5ov5","16","0.7555298303633666","0.7625187133724416","0.938953818829214","12","38","-23.86","-36.426"
"neat-sweep-71","finished","50","ls3l5ov5","24","0.6738672958877221","0.7866921517323996","0.9433214266030442","24","22","-25.18","-23.794"
"scarlet-sweep-100","finished","52","ls3l5ov5","54","0.7142325220503903","0.7882979672875021","0.839966910509213","10","36","-27.8","-64.72"
"lunar-sweep-93","finished","50","ls3l5ov5","54","0.9502418424145394","0.5460308823052004","0.9326559213623224","14","29","-28.6","-75.476"
"dauntless-sweep-89","finished","53","ls3l5ov5","62","0.9215403467832548","0.7862032184526289","0.8835612348485763","21","11","-30.02","-64.54"
"lilac-sweep-56","finished","56","ls3l5ov5","16","0.954324207041525","0.9832316675428676","0.8326783226229375","24","20","-30.62","-12.176"
"glorious-sweep-97","finished","51","ls3l5ov5","10","0.731037374259567","0.9495515211398196","0.8416239399769068","10","20","-33.18","-13.086"
"wise-sweep-47","finished","55","ls3l5ov5","34","0.9216484515014788","0.7759955317346912","0.9665759158629332","12","31","-35.7","-33.576"
"clean-sweep-42","finished","58","ls3l5ov5","25","0.977332672191064","0.9592679404039766","0.9815089986059068","73","44","-39","-90.472"
"different-sweep-41","finished","57","ls3l5ov5","13","0.95883293307315","0.6362001917628322","0.6277038498789153","13","10","-39.06","-42.542"
"jumping-sweep-53","finished","46","ls3l5ov5","11","0.731976949689483","0.9064390917523136","0.9600221245545176","15","26","-39.52","-66.314"
"kind-sweep-30","finished","53","ls3l5ov5","13","0.9866601648600068","0.7364886951426368","0.8344628708709576","13","11","-41.76","-40.832"
"avid-sweep-18","finished","53","ls3l5ov5","60","0.8475042038313159","0.7587033619711725","0.9840992525549824","48","22","-41.96","-78.42"
"charmed-sweep-29","finished","53","ls3l5ov5","31","0.6337160139587346","0.5589346723047501","0.8443359157664867","11","11","-42.22","-100.372"
"dutiful-sweep-95","finished","47","ls3l5ov5","34","0.6045057203308759","0.7746060388436935","0.9457032415636892","19","12","-42.24","-69.382"
"misty-sweep-68","finished","47","ls3l5ov5","25","0.7734563972320386","0.6372775697733677","0.8822095923502358","15","29","-42.88","-54.056"
"youthful-sweep-45","finished","55","ls3l5ov5","21","0.9549831809569675","0.5653970262040953","0.7638284816617589","20","12","-43.56","-45.442"
