"Name","Runtime","alpha","action_bins","gamma","vel_bins","x_bins","test_value","train_value","epsilon"
"effortless-sweep-69","63","0.9833746920497702","21","0.7643074159213292","43","68","-191.58","-3.43","0.1517499398982298"
"pious-sweep-90","66","0.9775377934817232","22","0.7019044509286022","84","42","-216.1","-17.338","0.19937190204632535"
"northern-sweep-75","69","0.984236527104827","25","0.8246239529847597","48","70","-217.72","0.496","0.18659977618954413"
"jolly-sweep-93","64","0.9860554525990316","23","0.7381738418774886","76","38","-226.78","-0.91","0.12124843666402044"
"ancient-sweep-30","64","0.6004852703323239","21","0.823237616404062","31","64","-233.42","-35.656","0.1289264800251747"
"magic-sweep-56","73","0.56383390158755","23","0.7641603521754166","46","57","-238.48","-19.736","0.20003859894415588"
"super-sweep-97","68","0.9530265049041384","22","0.7787405882156802","73","39","-243.98","-13.7","0.26044899297005825"
"scarlet-sweep-57","67","0.831756821111793","21","0.6265712151205087","43","66","-246.88","-7.412","0.19627336831709075"
"icy-sweep-99","72","0.9712991434679892","24","0.7570291097379525","45","77","-252.84","-8.788","0.16069336715477203"
"earnest-sweep-68","67","0.94008003198579","24","0.7370042374676822","31","71","-253.8","-27.39","0.1021367280738593"
"true-sweep-70","65","0.9262866650713866","24","0.6668780616981389","42","55","-258.64","-26.466","0.14565597612891584"
"driven-sweep-78","61","0.9221719550707494","20","0.7894085810783231","54","82","-262.92","-4.97","0.21544675506087227"
"still-sweep-83","72","0.9554497877540866","22","0.8053236911010511","89","62","-272","-38.97","0.1937173680031605"
"grateful-sweep-85","64","0.9659055361038194","20","0.7945621080292988","47","72","-273.06","-3.818","0.4425877656638315"
"serene-sweep-87","79","0.9169855644198984","21","0.6703988971894862","70","64","-283.88","-50.998","0.3440556219432024"
"olive-sweep-58","72","0.9611513956347562","26","0.6601701134834584","44","60","-284.54","-12.696","0.21113218655125632"
"ruby-sweep-74","76","0.8398660862349248","22","0.6972592359305821","51","83","-287.16","-41.734","0.2980447774134176"
"noble-sweep-96","70","0.9472113732441874","21","0.8097952501347535","69","65","-293.14","-12.718","0.47855085545643905"
"silvery-sweep-42","77","0.5958807213570544","24","0.7295346708644701","38","58","-297.18","-6.2","0.1691716498631921"
"grateful-sweep-72","82","0.9265255094315336","24","0.7220160599941642","52","94","-300.14","-73.59","0.34396068723610995"
